epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.2649380017021062,0.6949487074559064,0.08085417747497559,0.017079752,0.032382283,0.054926176,0.061659813
2,0.2598308198271079,0.6831311782739949,0.14201544225215912,0.015285733,0.032409135,0.051522277,0.060231645
3,0.25738853581011717,0.6787205064984072,0.10883937776088715,0.015099045,0.032468062,0.051118977,0.059887055
4,0.25968416324894494,0.6864099607426961,0.3021458089351654,0.015049481,0.03224123,0.050107386,0.05917542
5,0.2581893264228883,0.6787408077844302,0.1082233265042305,0.015013607,0.03226693,0.050800927,0.059202515
6,0.26011420697115967,0.6811836376478688,0.1183050200343132,0.014883712,0.03206584,0.050125677,0.058650866
7,0.2600243969712218,0.6843574656265422,0.08404906839132309,0.0149721885,0.032164738,0.049542174,0.05829686
8,0.25866914850341743,0.6804998425409026,0.19449582695960999,0.0147253005,0.031878423,0.04882667,0.057622135
9,0.26383823892299146,0.6971155187444495,0.11492030322551727,0.014833289,0.031819202,0.051451173,0.058439206
10,0.2656024612493338,0.6909420141496457,0.2006792426109314,0.014724984,0.03179106,0.051073402,0.057857882
11,0.2661838602476168,0.6934697606673009,0.2712307274341583,0.014631962,0.031798847,0.05101636,0.057122722
12,0.26190594581080606,0.6853431194726713,0.10293424874544144,0.0145592885,0.03164907,0.05022867,0.056830425
3,0.16269953470954987,0.5067151774114708,0.19837450981140137,0.03198228,0.04612684,0.10895934,0.08526466
4,0.18908016813867365,0.5610993498223805,0.1705426126718521,0.02592886,0.042569444,0.09366095,0.08123044
5,0.20790610285819874,0.598658097914426,0.11379855126142502,0.01973488,0.038783286,0.09781377,0.08084201
6,0.2184666910675245,0.6211588785532962,0.1645016074180603,0.01889477,0.03699128,0.094516814,0.07929369
7,0.2226377725606812,0.6332694187756925,0.33752793073654175,0.018509548,0.036052614,0.09183126,0.07783609
8,0.22688448223445556,0.633680867394562,0.10783039033412933,0.018208003,0.035592575,0.08893821,0.07677659
9,0.2331746098198773,0.6490817330238386,0.13924561440944672,0.017891457,0.03504767,0.08712075,0.07583884
10,0.23390478685028765,0.6529600924532161,0.13442730903625488,0.021272894,0.035726313,0.07964251,0.07420775
11,0.23529445933309828,0.6432189543479108,0.14075247943401337,0.017862922,0.035107836,0.07983864,0.07390342
12,0.23949344235253503,0.6512950949154708,0.15466400980949402,0.017580334,0.03469149,0.07801065,0.07320484
13,0.24339773013644717,0.6575182241319792,0.3512025773525238,0.01722665,0.034180827,0.0766453,0.072328694
14,0.24704940836474887,0.6668204046024425,0.06622359156608582,0.01712349,0.034154143,0.07537014,0.07169351
15,0.2452759325490276,0.668905690727542,0.23759739100933075,0.0169578,0.03403228,0.0738718,0.07105493
16,0.24948557474355954,0.673725211607616,0.10811049491167068,0.01911193,0.03430598,0.068000294,0.06961121
17,0.2486013527507158,0.6641361958199997,0.09614531695842743,0.016967148,0.033930786,0.06797123,0.0693723
18,0.24941714036037568,0.6706042501633843,0.12890249490737915,0.016619802,0.03376075,0.0659578,0.068697415
19,0.25232779325661464,0.6776491160530885,0.3058462142944336,0.01649833,0.03350206,0.06461737,0.06787143
20,0.25252828817866224,0.6730501656643398,0.13268698751926422,0.016348608,0.033329695,0.06357595,0.06726005
21,0.25222749663246424,0.6737349564566657,0.13878695666790009,0.016123837,0.033255685,0.06259721,0.06662357
22,0.25387038045675864,0.6749786123723462,0.07884706556797028,0.016460866,0.03295535,0.07347961,0.06860216
23,0.2536951071929671,0.6770662870170007,0.22496822476387024,0.016190235,0.03255509,0.07187773,0.06796268
24,0.25606425385489595,0.6847785321327082,0.28311964869499207,0.01604893,0.032513827,0.07103626,0.06733551
25,0.2611287648134102,0.6867051626383526,0.3699418604373932,0.015859537,0.032348443,0.068879746,0.06679587
26,0.2629917709541396,0.6917115251361954,0.6111428141593933,0.015756387,0.032327674,0.06822484,0.06610258
27,0.2598370460398473,0.6880064651923165,0.12787207961082458,0.015766414,0.032185853,0.06684663,0.065676175
28,0.26420427931528506,0.6962558681933183,0.09022323787212372,0.015598259,0.032077447,0.066158384,0.06536316
29,0.25810448677470343,0.6907789503877143,0.2779424786567688,0.015493275,0.03212505,0.064493775,0.06489373
30,0.25663726796968755,0.6783319411796426,0.479381799697876,0.015384736,0.031914875,0.06341376,0.06426432
16,0.24915444498954983,0.674849354635837,0.10787320137023926,0.019076323,0.034322105,0.068104565,0.06961307
17,0.24746749651132854,0.6633356091696577,0.13236859440803528,0.017002717,0.033934757,0.068017215,0.06939432
18,0.24960151546487602,0.6732674095264535,0.12996259331703186,0.01666806,0.0337748,0.06612043,0.06870432
31,0.30355056787113677,0.7457646840303725,0.06564988195896149,0.016839862,0.03250975,0.05537027,0.06183607
32,0.29824415254123005,0.7587906565989295,0.10415073484182358,0.015448674,0.032316893,0.054948583,0.06134023
31,0.26404533103029804,0.6973150980333866,0.06701616197824478,0.016771268,0.032506257,0.055277884,0.061817
